Month,Product,Units_Sold,Price_per_Unit,Revenue,Customer_Reviews
Jan-24,Cricket Bat,120,2500,300000,Good balance and strong grip
Jan-24,Cricket Ball,300,450,135000,Durable and good swing
Jan-24,Football,180,1200,216000,Quality material but slightly expensive
Feb-24,Cricket Bat,140,2550,357000,Excellent performance and durability
Feb-24,Cricket Ball,320,460,147200,Good for practice sessions
Feb-24,Football,190,1180,224200,Nice grip and comfortable to play
Mar-24,Cricket Bat,200,2600,520000,Perfect for tournament matches
Mar-24,Cricket Ball,450,480,216000,Great seam and long-lasting
Mar-24,Football,260,1250,325000,Very good quality and finish
Apr-24,Cricket Bat,280,2700,756000,Excellent bat for professional players
Apr-24,Cricket Ball,520,500,260000,Consistent bounce and durability
Apr-24,Football,310,1300,403000,Best football I have used
May-24,Cricket Bat,300,2750,825000,High quality and worth the price
May-24,Cricket Ball,580,520,301600,Good for matches and practice
May-24,Football,350,1350,472500,Strong and long-lasting
Jun-24,Cricket Bat,260,2800,728000,Good but slightly expensive
Jun-24,Cricket Ball,540,530,286200,Quality ball with good grip
Jun-24,Football,330,1380,455400,Nice control and comfort
